x y z
-49 -9 0
-49 -9 50
-49 -8 0
-49 -8 50
-49 -7 0
-49 -7 50
-49 -6 0
-49 -6 50
-49 -5 0
-49 -5 50
-49 -4 0
-49 -4 50
-49 -3 0
-49 -3 50
-49 -2 0
-49 -2 50
-49 -1 0
-49 -1 50
-49 0 0
-49 0 50
-49 1 0
-49 1 50
-49 2 0
-49 2 50
-49 3 0
-49 3 50
-49 4 0
-49 4 50
-49 5 0
-49 5 50
-49 6 0
-49 6 50
-49 7 0
-49 7 50
-49 8 0
-49 8 50
-49 9 0
-49 9 50
-48 -13 0
-48 -13 50
-48 -12 0
-48 -12 50
-48 -11 0
-48 -11 50
-48 -10 0
-48 -10 50
-48 -9 0
-48 -9 50
-48 -8 0
-48 -8 50
-48 -7 0
-48 -7 50
-48 -6 0
-48 -6 50
-48 -5 0
-48 -5 50
-48 -4 0
-48 -4 50
-48 -3 0
-48 -3 50
-48 -2 0
-48 -2 50
-48 -1 0
-48 -1 50
-48 0 0
-48 0 50
-48 1 0
-48 1 50
-48 2 0
-48 2 50
-48 3 0
-48 3 50
-48 4 0
-48 4 50
-48 5 0
-48 5 50
-48 6 0
-48 6 50
-48 7 0
-48 7 50
-48 8 0
-48 8 50
-48 9 0
-48 9 50
-48 10 0
-48 10 50
-48 11 0
-48 11 50
-48 12 0
-48 12 50
-48 13 0
-48 13 50
-47 -17 0
-47 -17 50
-47 -16 0
-47 -16 50
-47 -15 0
-47 -15 50
-47 -14 0
-47 -14 50
-47 -13 0
-47 -13 50
-47 -12 0
-47 -12 50
-47 -11 0
-47 -11 50
-47 -10 0
-47 -10 50
-47 -9 0
-47 -9 50
-47 -8 0
-47 -8 50
-47 -7 0
-47 -7 50
-47 -6 0
-47 -6 50
-47 -5 0
-47 -5 50
-47 -4 0
-47 -4 50
-47 -3 0
-47 -3 50
-47 -2 0
-47 -2 50
-47 -1 0
-47 -1 50
-47 0 0
-47 0 50
-47 1 0
-47 1 50
-47 2 0
-47 2 50
-47 3 0
-47 3 50
-47 4 0
-47 4 50
-47 5 0
-47 5 50
-47 6 0
-47 6 50
-47 7 0
-47 7 50
-47 8 0
-47 8 50
-47 9 0
-47 9 50
-47 10 0
-47 10 50
-47 11 0
-47 11 50
-47 12 0
-47 12 50
-47 13 0
-47 13 50
-47 14 0
-47 14 50
-47 15 0
-47 15 50
-47 16 0
-47 16 50
-47 17 0
-47 17 50
-46 -19 0
-46 -19 50
-46 -18 0
-46 -18 50
-46 -17 0
-46 -17 50
-46 -16 0
-46 -16 50
-46 -15 0
-46 -15 50
-46 -14 0
-46 -14 50
-46 -13 0
-46 -13 50
-46 -12 0
-46 -12 50
-46 -11 0
-46 -11 50
