x y z
-49 -9 0
-49 -8 0
-49 -7 0
-49 -6 0
-49 -5 0
-49 -4 0
-49 -3 0
-49 -2 0
-49 -1 0
-49 0 0
-49 1 0
-49 2 0
-49 3 0
-49 4 0
-49 5 0
-49 6 0
-49 7 0
-49 8 0
-49 9 0
-48 -13 0
-48 -12 0
-48 -11 0
-48 -10 0
-48 -9 0
-48 -8 0
-48 -7 0
-48 -6 0
-48 -5 0
-48 -4 0
-48 -3 0
-48 -2 0
-48 -1 0
-48 0 0
-48 1 0
-48 2 0
-48 3 0
-48 4 0
-48 5 0
-48 6 0
-48 7 0
-48 8 0
-48 9 0
-48 10 0
-48 11 0
-48 12 0
-48 13 0
-47 -17 0
-47 -16 0
-47 -15 0
-47 -14 0
-47 -13 0
-47 -12 0
-47 -11 0
-47 -10 0
-47 -9 0
-47 -8 0
-47 -7 0
-47 -6 0
-47 -5 0
-47 -4 0
-47 -3 0
-47 -2 0
-47 -1 0
-47 0 0
-47 1 0
-47 2 0
-47 3 0
-47 4 0
-47 5 0
-47 6 0
-47 7 0
-47 8 0
-47 9 0
-47 10 0
-47 11 0
-47 12 0
-47 13 0
-47 14 0
-47 15 0
-47 16 0
-47 17 0
-46 -19 0
-46 -18 0
-46 -17 0
-46 -16 0
-46 -15 0
-46 -14 0
-46 -13 0
-46 -12 0
-46 -11 0
-46 -10 0
-46 -9 0
-46 -8 0
-46 -7 0
-46 -6 0
-46 -5 0
-46 -4 0
-46 -3 0
-46 -2 0
-46 -1 0
-46 0 0
-46 1 0
-46 2 0
-46 3 0
-46 4 0
-46 5 0
-46 6 0
-46 7 0
-46 8 0
-46 9 0
-46 10 0
-46 11 0
-46 12 0
-46 13 0
-46 14 0
-46 15 0
-46 16 0
-46 17 0
-46 18 0
-46 19 0
-45 -21 0
-45 -20 0
-45 -19 0
-45 -18 0
-45 -17 0
-45 -16 0
-45 -15 0
-45 -14 0
-45 -13 0
-45 -12 0
-45 -11 0
-45 -10 0
-45 -9 0
-45 -8 0
-45 -7 0
-45 -6 0
-45 -5 0
-45 -4 0
-45 -3 0
-45 -2 0
-45 -1 0
