x y z
-49 -9 -4
-49 -9 -3
-49 -9 -2
-49 -9 -1
-49 -9 0
-49 -9 1
-49 -9 2
-49 -9 3
-49 -9 4
-49 -8 -5
-49 -8 -4
-49 -8 -3
-49 -8 -2
-49 -8 -1
-49 -8 0
-49 -8 1
-49 -8 2
-49 -8 3
-49 -8 4
-49 -8 5
-49 -7 -7
-49 -7 -6
-49 -7 -5
-49 -7 -4
-49 -7 -3
-49 -7 -2
-49 -7 -1
-49 -7 0
-49 -7 1
-49 -7 2
-49 -7 3
-49 -7 4
-49 -7 5
-49 -7 6
-49 -7 7
-49 -6 -7
-49 -6 -6
-49 -6 -5
-49 -6 -4
-49 -6 -3
-49 -6 -2
-49 -6 -1
-49 -6 0
-49 -6 1
-49 -6 2
-49 -6 3
-49 -6 4
-49 -6 5
-49 -6 6
-49 -6 7
-49 -5 -8
-49 -5 -7
-49 -5 -6
-49 -5 -5
-49 -5 -4
-49 -5 -3
-49 -5 -2
-49 -5 -1
-49 -5 0
-49 -5 1
-49 -5 2
-49 -5 3
-49 -5 4
-49 -5 5
-49 -5 6
-49 -5 7
-49 -5 8
-49 -4 -9
-49 -4 -8
-49 -4 -7
-49 -4 -6
-49 -4 -5
-49 -4 -4
-49 -4 -3
-49 -4 -2
-49 -4 -1
-49 -4 0
-49 -4 1
-49 -4 2
-49 -4 3
-49 -4 4
-49 -4 5
-49 -4 6
-49 -4 7
-49 -4 8
-49 -4 9
-49 -3 -9
-49 -3 -8
-49 -3 -7
-49 -3 -6
-49 -3 -5
-49 -3 -4
-49 -3 -3
-49 -3 -2
-49 -3 -1
-49 -3 0
-49 -3 1
-49 -3 2
-49 -3 3
-49 -3 4
-49 -3 5
-49 -3 6
-49 -3 7
-49 -3 8
-49 -3 9
-49 -2 -9
-49 -2 -8
-49 -2 -7
-49 -2 -6
-49 -2 -5
-49 -2 -4
-49 -2 -3
-49 -2 -2
-49 -2 -1
-49 -2 0
-49 -2 1
-49 -2 2
-49 -2 3
-49 -2 4
-49 -2 5
-49 -2 6
-49 -2 7
-49 -2 8
-49 -2 9
-49 -1 -9
-49 -1 -8
-49 -1 -7
-49 -1 -6
-49 -1 -5
-49 -1 -4
-49 -1 -3
-49 -1 -2
-49 -1 -1
-49 -1 0
-49 -1 1
-49 -1 2
-49 -1 3
-49 -1 4
-49 -1 5
-49 -1 6
-49 -1 7
-49 -1 8
-49 -1 9
-49 0 -9
-49 0 -8
-49 0 -7
-49 0 -6
-49 0 -5
-49 0 -4
-49 0 -3
-49 0 -2
-49 0 -1
-49 0 0
-49 0 1
-49 0 2
-49 0 3
-49 0 4
-49 0 5
-49 0 6
-49 0 7
-49 0 8
-49 0 9
-49 1 -9
-49 1 -8
-49 1 -7
-49 1 -6
-49 1 -5
-49 1 -4
-49 1 -3
-49 1 -2
-49 1 -1
-49 1 0
-49 1 1
-49 1 2
-49 1 3
-49 1 4
-49 1 5
-49 1 6
-49 1 7
-49 1 8
-49 1 9
-49 2 -9
-49 2 -8
-49 2 -7
-49 2 -6
-49 2 -5
-49 2 -4
-49 2 -3
-49 2 -2
-49 2 -1
-49 2 0
-49 2 1
-49 2 2
-49 2 3
-49 2 4
-49 2 5
-49 2 6
-49 2 7
-49 2 8
-49 2 9
-49 3 -9
-49 3 -8
-49 3 -7
-49 3 -6
-49 3 -5
-49 3 -4
-49 3 -3
-49 3 -2
-49 3 -1
-49 3 0
-49 3 1
-49 3 2
-49 3 3
-49 3 4
-49 3 5
-49 3 6
-49 3 7
-49 3 8
-49 3 9
-49 4 -9
-49 4 -8
-49 4 -7
-49 4 -6
-49 4 -5
-49 4 -4
-49 4 -3
-49 4 -2
-49 4 -1
-49 4 0
-49 4 1
-49 4 2
-49 4 3
-49 4 4
-49 4 5
-49 4 6
-49 4 7
-49 4 8
-49 4 9
-49 5 -8
-49 5 -7
-49 5 -6
-49 5 -5
-49 5 -4
-49 5 -3
-49 5 -2
-49 5 -1
-49 5 0
-49 5 1
-49 5 2
-49 5 3
-49 5 4
-49 5 5
-49 5 6
-49 5 7
-49 5 8
-49 6 -7
-49 6 -6
-49 6 -5
-49 6 -4
-49 6 -3
-49 6 -2
-49 6 -1
-49 6 0
-49 6 1
-49 6 2
-49 6 3
-49 6 4
-49 6 5
-49 6 6
-49 6 7
-49 7 -7
-49 7 -6
-49 7 -5
-49 7 -4
-49 7 -3
-49 7 -2
-49 7 -1
-49 7 0
-49 7 1
-49 7 2
-49 7 3
-49 7 4
-49 7 5
-49 7 6
-49 7 7
-49 8 -5
-49 8 -4
-49 8 -3
-49 8 -2
-49 8 -1
-49 8 0
-49 8 1
-49 8 2
-49 8 3
-49 8 4
-49 8 5
-49 9 -4
-49 9 -3
-49 9 -2
-49 9 -1
-49 9 0
-49 9 1
-49 9 2
-49 9 3
-49 9 4
-48 -13 -5
-48 -13 -4
-48 -13 -3
-48 -13 -2
-48 -13 -1
-48 -13 0
-48 -13 1
-48 -13 2
-48 -13 3
-48 -13 4
-48 -13 5
-48 -12 -7
-48 -12 -6
-48 -12 -5
-48 -12 -4
-48 -12 -3
-48 -12 -2
-48 -12 -1
-48 -12 0
-48 -12 1
-48 -12 2
-48 -12 3
-48 -12 4
-48 -12 5
-48 -12 6
-48 -12 7
-48 -11 -8
-48 -11 -7
-48 -11 -6
-48 -11 -5
-48 -11 -4
-48 -11 -3
-48 -11 -2
-48 -11 -1
-48 -11 0
-48 -11 1
-48 -11 2
-48 -11 3
-48 -11 4
-48 -11 5
-48 -11 6
-48 -11 7
-48 -11 8
-48 -10 -9
-48 -10 -8
-48 -10 -7
-48 -10 -6
-48 -10 -5
-48 -10 -4
-48 -10 -3
-48 -10 -2
-48 -10 -1
-48 -10 0
-48 -10 1
-48 -10 2
-48 -10 3
-48 -10 4
-48 -10 5
-48 -10 6
-48 -10 7
-48 -10 8
-48 -10 9
-48 -9 -10
-48 -9 -9
-48 -9 -8
-48 -9 -7
-48 -9 -6
-48 -9 -5
-48 -9 -4
-48 -9 -3
-48 -9 -2
-48 -9 -1
-48 -9 0
-48 -9 1
-48 -9 2
-48 -9 3
-48 -9 4
-48 -9 5
-48 -9 6
-48 -9 7
-48 -9 8
-48 -9 9
-48 -9 10
-48 -8 -11
-48 -8 -10
-48 -8 -9
-48 -8 -8
-48 -8 -7
-48 -8 -6
-48 -8 -5
-48 -8 -4
-48 -8 -3
-48 -8 -2
-48 -8 -1
-48 -8 0
-48 -8 1
-48 -8 2
-48 -8 3
-48 -8 4
-48 -8 5
-48 -8 6
-48 -8 7
-48 -8 8
-48 -8 9
-48 -8 10
-48 -8 11
-48 -7 -12
-48 -7 -11
-48 -7 -10
-48 -7 -9
-48 -7 -8
-48 -7 -7
-48 -7 -6
-48 -7 -5
-48 -7 -4
-48 -7 -3
-48 -7 -2
-48 -7 -1
-48 -7 0
-48 -7 1
-48 -7 2
-48 -7 3
-48 -7 4
-48 -7 5
-48 -7 6
-48 -7 7
-48 -7 8
-48 -7 9
-48 -7 10
-48 -7 11
-48 -7 12
-48 -6 -12
-48 -6 -11
-48 -6 -10
-48 -6 -9
-48 -6 -8
-48 -6 -7
-48 -6 -6
-48 -6 -5
-48 -6 -4
-48 -6 -3
-48 -6 -2
-48 -6 -1
-48 -6 0
-48 -6 1
-48 -6 2
-48 -6 3
-48 -6 4
-48 -6 5
-48 -6 6
-48 -6 7
-48 -6 8
-48 -6 9
-48 -6 10
-48 -6 11
-48 -6 12
-48 -5 -13
-48 -5 -12
-48 -5 -11
-48 -5 -10
-48 -5 -9
-48 -5 -8
-48 -5 -7
-48 -5 -6
-48 -5 -5
-48 -5 -4
-48 -5 -3
-48 -5 -2
-48 -5 -1
-48 -5 0
-48 -5 1
-48 -5 2
-48 -5 3
-48 -5 4
-48 -5 5
-48 -5 6
-48 -5 7
-48 -5 8
-48 -5 9
-48 -5 10
-48 -5 11
-48 -5 12
-48 -5 13
-48 -4 -13
-48 -4 -12
-48 -4 -11
-48 -4 -10
-48 -4 -9
-48 -4 -8
-48 -4 -7
-48 -4 -6
-48 -4 -5
-48 -4 -4
-48 -4 -3
-48 -4 -2
-48 -4 -1
-48 -4 0
-48 -4 1
-48 -4 2
-48 -4 3
-48 -4 4
-48 -4 5
-48 -4 6
-48 -4 7
-48 -4 8
-48 -4 9
-48 -4 10
-48 -4 11
-48 -4 12
-48 -4 13
-48 -3 -13
-48 -3 -12
-48 -3 -11
-48 -3 -10
-48 -3 -9
-48 -3 -8
-48 -3 -7
-48 -3 -6
-48 -3 -5
-48 -3 -4
-48 -3 -3
-48 -3 -2
-48 -3 -1
-48 -3 0
-48 -3 1
-48 -3 2
-48 -3 3
-48 -3 4
-48 -3 5
-48 -3 6
-48 -3 7
-48 -3 8
-48 -3 9
-48 -3 10
-48 -3 11
-48 -3 12
-48 -3 13
-48 -2 -13
-48 -2 -12
-48 -2 -11
-48 -2 -10
-48 -2 -9
-48 -2 -8
-48 -2 -7
-48 -2 -6
-48 -2 -5
-48 -2 -4
-48 -2 -3
-48 -2 -2
-48 -2 -1
-48 -2 0
-48 -2 1
-48 -2 2
-48 -2 3
-48 -2 4
-48 -2 5
-48 -2 6
-48 -2 7
-48 -2 8
-48 -2 9
-48 -2 10
-48 -2 11
-48 -2 12
-48 -2 13
-48 -1 -13
-48 -1 -12
-48 -1 -11
-48 -1 -10
-48 -1 -9
-48 -1 -8
-48 -1 -7
-48 -1 -6
-48 -1 -5
-48 -1 -4
-48 -1 -3
-48 -1 -2
-48 -1 -1
-48 -1 0
-48 -1 1
-48 -1 2
-48 -1 3
-48 -1 4
-48 -1 5
-48 -1 6
-48 -1 7
-48 -1 8
-48 -1 9
-48 -1 10
-48 -1 11
-48 -1 12
-48 -1 13
-48 0 -13
-48 0 -12
