x y z
-490947.79 -1118012.51 238.79
-490946.01 -1118037.00 238.95
-490989.03 -1118213.23 239.14
-491025.71 -1118506.51 251.16
-491017.25 -1118449.99 243.72
-490969.67 -1118093.14 238.92
-491022.03 -1118504.45 251.32
-490981.07 -1118198.00 239.25
-490983.05 -1118219.60 239.24
-490986.47 -1118253.71 239.56
-490986.24 -1118259.42 239.54
-490960.76 -1118071.30 238.84
-490961.83 -1118089.61 238.86
-490998.80 -1118383.33 241.99
-490991.76 -1118337.69 241.11
-491019.66 -1118560.90 253.96
-490993.29 -1118366.61 241.58
-490995.35 -1118389.72 242.28
-490966.88 -1118179.79 239.30
-490963.91 -1118165.45 238.99
-490956.49 -1118117.20 238.98
-490955.51 -1118116.70 239.02
-490976.61 -1118286.75 240.25
-490980.39 -1118324.39 240.80
-490944.57 -1118056.46 238.86
-490943.62 -1118054.96 238.72
-490964.68 -1118223.41 239.19
-490939.38 -1118035.68 239.12
-490984.54 -1118389.64 242.20
-490988.06 -1118422.40 243.46
-490956.40 -1118185.49 239.23
-490948.09 -1118127.58 238.88
-490994.97 -1118493.97 247.89
-490983.29 -1118410.83 243.06
-490996.71 -1118519.31 250.75
-490943.98 -1118120.05 238.97
-490995.82 -1118525.69 251.50
-490953.90 -1118210.06 239.26
-490934.97 -1118069.65 238.81
-490990.76 -1118505.26 248.11
-490942.83 -1118143.45 238.99
-490987.80 -1118496.25 244.76
-490949.18 -1118206.33 239.21
-490943.99 -1118172.97 239.02
-491064.08 -1118399.78 242.23
-491084.31 -1118567.93 251.20
-491066.55 -1118439.90 242.94
-491027.34 -1118146.94 239.32
-491076.42 -1118533.28 252.15
-491034.14 -1118216.45 239.23
-491065.52 -1118465.05 243.07
-491026.74 -1118174.40 239.25
-491069.27 -1118509.11 252.44
-491053.93 -1118401.59 242.37
-491068.65 -1118522.39 252.79
-491048.33 -1118375.76 241.92
-491021.16 -1118175.41 239.20
-491024.17 -1118207.07 239.29
-491025.05 -1118222.94 239.24
-491021.33 -1118205.61 239.23
-491014.82 -1118164.74 239.16
-491065.92 -1118567.32 254.65
-491037.61 -1118359.01 241.44
-491011.49 -1118164.99 239.27
-491012.29 -1118179.86 239.26
-491008.68 -1118160.61 239.31
-491036.76 -1118385.83 242.20
-491010.31 -1118191.65 239.24
-491010.96 -1118203.67 239.24
-491021.70 -1118296.65 240.08
-491002.87 -1118161.01 239.27
-491008.67 -1118214.80 239.20
-491033.57 -1118417.10 242.84
-491049.64 -1118549.70 253.84
-490996.09 -1118146.08 239.02
-491004.34 -1118217.65 239.14
-491008.05 -1118254.59 239.46
-490997.81 -1118184.47 239.27
-490979.13 -1118048.63 238.94
-491003.89 -1118245.86 239.30
-491023.77 -1118406.33 242.74
-490983.07 -1118100.17 238.69
-491000.41 -1118240.24 239.32
-491038.59 -1118539.51 253.35
-491022.83 -1118424.82 243.26
-491028.79 -1118477.65 243.94
-490977.78 -1118091.30 238.90
-491012.75 -1118365.55 241.64
-491030.80 -1118510.01 250.12
-491018.52 -1118421.75 243.14
-491022.43 -1118459.31 243.71
-491007.87 -1118352.11 241.26
-491120.20 -1118445.08 241.78
-491121.27 -1118468.23 242.54
-491070.92 -1118093.44 239.03
-491101.94 -1118342.31 240.36
-491102.55 -1118355.93 240.80
-491062.31 -1118056.36 238.96
-491089.38 -1118274.38 239.45
-491067.51 -1118116.43 239.09
-491121.77 -1118543.83 241.22
-491121.43 -1118552.30 241.38
-491068.41 -1118153.70 239.40
-491052.69 -1118044.82 238.93
-491093.22 -1118365.02 240.84
-491099.96 -1118427.13 241.96
-491105.10 -1118475.48 242.42
-491052.80 -1118080.95 239.04
-491085.76 -1118344.62 240.72
-491111.47 -1118550.81 242.65
-491073.12 -1118265.09 239.35
-491100.97 -1118488.34 242.94
-491099.86 -1118488.63 242.91
-491088.92 -1118412.66 241.83
-491105.10 -1118546.32 243.33
-491085.02 -1118402.68 241.69
-491048.16 -1118126.96 239.16
-491099.10 -1118527.97 243.42
-491091.29 -1118476.42 243.41
-491088.68 -1118463.59 243.26
-491092.82 -1118502.88 243.10
-491090.32 -1118491.77 244.04
-491038.56 -1118101.22 238.99
-491097.17 -1118561.05 246.56
-491080.78 -1118442.14 242.87
-491093.99 -1118553.66 247.20
-491062.06 -1118314.72 240.13
-491036.62 -1118128.89 239.06
-491081.33 -1118481.06 246.58
-491042.16 -1118186.10 239.19
-491062.19 -1118350.55 241.09
-491055.08 -1118303.40 240.13
-491061.26 -1118358.61 241.33
-491038.75 -1118193.55 239.17
-491084.94 -1118554.95 251.00
-491172.86 -1118463.70 240.62
-491163.10 -1118402.97 240.72
-491156.45 -1118363.63 240.18
-491135.81 -1118217.33 239.35
-491143.23 -1118287.38 239.38
-491155.84 -1118396.93 240.80
-491150.91 -1118371.46 240.33
-491166.45 -1118503.97 240.86
-491100.36 -1118009.57 238.98
-491123.65 -1118199.95 239.17
-491155.50 -1118456.38 241.52
-491125.65 -1118239.84 239.31
-491116.36 -1118180.83 239.22
-491151.08 -1118460.77 241.72
-491152.39 -1118482.33 241.20
-491151.79 -1118489.84 241.11
-491117.23 -1118234.53 239.31
-491092.12 -1118052.04 239.02
-491136.98 -1118408.16 241.06
-491131.82 -1118379.19 240.84
-491149.05 -1118523.58 241.06
-491087.80 -1118062.04 238.98
-491133.00 -1118422.68 241.50
-491144.09 -1118518.92 241.23
-491132.72 -1118442.51 241.83
-491123.96 -1118386.69 241.01
-491132.45 -1118462.53 242.32
-491071.50 -1118004.23 238.95
-491087.41 -1118136.94 239.16
-491097.73 -1118228.73 239.31
-491089.80 -1118177.64 239.12
-491100.52 -1118270.77 239.41
-491069.67 -1118044.81 238.99
-491164.70 -1118003.48 239.08
-491170.15 -1118057.20 239.08
-491232.99 -1118551.15 240.51
-491190.76 -1118236.65 239.29
-491184.21 -1118197.51 239.37
-491195.13 -1118290.57 239.30
-491200.52 -1118340.74 239.51
-491170.25 -1118118.11 239.13
-491157.61 -1118032.19 239.07
-491156.38 -1118034.65 239.14
-491181.84 -1118240.81 239.30
-491190.76 -1118320.00 239.52
-491169.66 -1118167.18 239.46
-491214.99 -1118526.63 240.43
-491167.35 -1118170.24 239.29
-491185.74 -1118321.26 239.49
-491147.48 -1118038.49 239.02
-491207.00 -1118506.02 240.48
-491175.91 -1118277.07 239.38
-491194.77 -1118433.40 240.12
-491148.59 -1118086.67 239.07
-491155.76 -1118152.36 239.16
-491185.75 -1118394.85 239.86
-491196.95 -1118491.71 240.51
-491154.41 -1118176.43 239.29
-491148.11 -1118138.29 239.17
-491179.66 -1118390.58 239.89
-491139.19 -1118091.86 239.02
-491170.48 -1118344.10 239.80
-491177.15 -1118406.90 240.34
-491145.62 -1118174.59 239.14
-491145.40 -1118184.56 239.22
-491180.13 -1118463.28 240.59
-491128.18 -1118076.26 239.00
-491178.82 -1118477.61 240.60
-491142.02 -1118205.30 239.39
-491250.76 -1118267.06 239.45
-491277.18 -1118483.49 240.45
-491235.44 -1118173.39 239.25
-491234.16 -1118172.40 239.31
-491216.96 -1118050.04 239.35
-491273.74 -1118496.06 240.15
-491247.52 -1118306.45 239.54
-491247.84 -1118319.06 239.74
-491235.47 -1118234.12 239.44
-491246.63 -1118329.15 239.53
-491263.91 -1118471.98 240.71
-491244.54 -1118333.97 239.66
-491261.29 -1118473.38 240.08
-491200.88 -1118018.79 239.29
-491236.29 -1118299.73 239.51
-491202.88 -1118053.07 239.36
-491207.91 -1118102.01 239.25
-491245.90 -1118402.26 239.59
-491201.17 -1118069.05 239.29
-491249.95 -1118454.13 240.20
-491236.24 -1118355.16 239.79
-491232.45 -1118335.35 239.57
-491233.71 -1118354.36 239.61
-491236.49 -1118382.45 239.75
-491195.71 -1118077.01 239.26
-491195.65 -1118084.18 239.16
-491199.86 -1118125.54 239.16
-491202.24 -1118151.31 239.24
-491189.04 -1118057.80 239.17
-491240.93 -1118463.60 239.61
-491196.23 -1118126.79 239.17
