@relation 'titanic-weka.filters.unsupervised.attribute.NumericToBinary-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Remove-R2,7,9-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,3-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M'

@attribute pclass numeric
@attribute sex {male,female}
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {S,C,Q}
@attribute survived_binarized {0,1}
@attribute age numeric

@data
3,male,0,1,8.5167,C,1,0.42
2,male,1,1,14.5,S,1,0.67
3,female,2,1,19.2583,C,1,0.75
3,female,2,1,19.2583,C,1,0.75
2,male,0,2,29,S,1,0.83
2,male,1,1,18.75,S,1,0.83
1,male,1,2,151.55,S,1,0.92
3,male,4,1,39.6875,S,0,1
3,male,5,2,46.9,S,0,1
3,female,1,1,11.1333,S,1,1
2,male,2,1,39,S,1,1
3,female,0,2,15.7417,C,1,1
3,male,1,2,20.575,S,1,1
2,male,0,2,37.0042,C,1,1
3,male,3,1,21.075,S,0,2
3,male,4,1,29.125,Q,0,2
3,female,4,2,31.275,S,0,2
3,female,0,1,10.4625,S,0,2
1,female,1,2,151.55,S,0,2
3,female,3,2,27.9,S,0,2
3,male,4,1,39.6875,S,0,2
2,male,1,1,26,S,1,2
3,female,0,1,12.2875,S,1,2
2,female,1,1,26,S,1,2
3,female,3,1,21.075,S,0,3
2,female,1,2,41.5792,C,1,3
2,male,1,1,26,S,1,3
3,male,4,2,31.3875,S,1,3
3,male,1,1,15.9,S,1,3
2,male,1,1,18.75,S,1,3
3,male,3,2,27.9,S,0,4
3,male,4,1,29.125,Q,0,4
3,male,4,2,31.275,S,0,4
3,female,1,1,16.7,S,1,4
3,female,0,2,22.025,S,1,4
1,male,0,2,81.8583,S,1,4
2,female,2,1,39,S,1,4
3,female,0,1,13.4167,C,1,4
2,female,1,1,23,S,1,4
3,male,1,1,11.1333,S,1,4
2,female,1,2,27.75,S,1,5
3,female,4,2,31.3875,S,1,5
3,female,2,1,19.2583,C,1,5
3,female,0,0,12.475,S,1,5
3,female,4,2,31.275,S,0,6
2,female,0,1,33,S,1,6
3,male,0,1,12.475,S,1,6
3,male,4,1,39.6875,S,0,7
3,male,4,1,29.125,Q,0,7
2,female,0,2,26.25,S,1,7
3,female,3,1,21.075,S,0,8
3,male,4,1,29.125,Q,0,8
2,female,0,2,26.25,S,1,8
2,male,1,1,36.75,S,1,8
3,female,2,2,34.375,S,0,9
3,male,4,2,31.3875,S,0,9
3,male,5,2,46.9,S,0,9
3,female,4,2,31.275,S,0,9
3,female,3,2,27.9,S,0,9
3,female,1,1,15.2458,C,0,9
3,male,0,2,20.525,S,1,9
3,male,1,1,15.9,S,1,9
3,female,0,2,24.15,S,0,10
3,male,3,2,27.9,S,0,10
3,male,5,2,46.9,S,0,11
3,female,4,2,31.275,S,0,11
3,male,0,0,18.7875,C,0,11
1,male,1,2,120,S,1,11
3,male,1,0,11.2417,C,1,12
2,female,0,1,19.5,S,1,13
3,female,0,0,7.2292,C,1,13
3,female,0,0,7.8542,S,0,14
3,male,5,2,46.9,S,0,14
3,male,4,1,39.6875,S,0,14
2,female,1,0,30.0708,C,1,14
3,female,1,0,11.2417,C,1,14
1,female,1,2,120,S,1,14
3,female,1,0,14.4542,C,0,14.5
3,male,1,1,7.2292,C,0,15
3,female,0,0,8.0292,Q,1,15
1,female,0,1,211.3375,S,1,15
3,female,1,0,14.4542,C,1,15
3,female,0,0,7.225,C,1,15
3,female,5,2,46.9,S,0,16
3,male,1,3,34.375,S,0,16
3,male,0,0,9.2167,S,0,16
3,male,4,1,39.6875,S,0,16
3,male,0,0,9.5,S,0,16
3,male,2,0,18,S,0,16
3,male,0,0,8.05,S,0,16
3,male,1,1,20.25,S,0,16
3,male,0,0,7.775,S,0,16
2,male,0,0,26,S,0,16
2,male,0,0,10.5,S,0,16
3,female,0,0,7.7333,Q,1,16
3,female,0,0,7.75,Q,1,16
3,male,0,0,8.05,S,1,16
1,female,0,1,57.9792,C,1,16
1,female,0,0,86.5,S,1,16
1,female,0,1,39.4,S,1,16
3,female,0,0,14.4583,C,0,17
3,male,0,0,8.6625,S,0,17
3,male,0,0,7.125,S,0,17
3,male,0,0,8.6625,S,0,17
3,male,1,1,7.2292,C,0,17
3,male,1,0,7.0542,S,0,17
3,male,0,0,8.6625,S,0,17
3,female,4,2,7.925,S,1,17
2,female,0,0,10.5,S,1,17
1,female,1,0,108.9,C,1,17
2,female,0,0,12,C,1,17
1,male,0,2,110.8833,C,1,17
1,female,1,0,57,S,1,17
3,female,2,0,18,S,0,18
3,female,1,0,17.8,S,0,18
2,male,0,0,11.5,S,0,18
3,male,1,1,7.8542,S,0,18
2,male,0,0,13,S,0,18
3,male,1,0,6.4958,S,0,18
2,male,0,0,73.5,S,0,18
3,male,1,1,20.2125,S,0,18
1,male,1,0,108.9,C,0,18
3,female,0,0,6.75,Q,0,18
3,male,0,0,7.775,S,0,18
3,male,0,0,7.7958,S,0,18
3,female,0,1,14.4542,C,0,18
2,male,0,0,11.5,S,0,18
3,male,0,0,7.75,S,0,18
3,female,0,0,7.775,S,0,18
3,male,0,0,8.3,S,0,18
3,male,0,0,8.05,S,1,18
1,female,2,2,262.375,C,1,18
2,female,0,2,13,S,1,18
1,female,0,2,79.65,S,1,18
2,female,0,1,23,S,1,18
3,female,0,0,9.8417,S,1,18
1,female,1,0,227.525,C,1,18
3,female,0,0,7.4958,S,1,18
3,female,0,1,9.35,S,1,18
1,male,3,2,263,S,0,19
3,male,0,0,8.1583,S,0,19
3,male,0,0,6.75,Q,0,19
2,male,1,1,36.75,S,0,19
2,male,0,0,13,S,0,19
2,male,0,0,10.5,S,0,19
3,male,0,0,0,S,0,19
3,male,0,0,8.05,S,0,19
3,male,0,0,7.775,S,0,19
3,male,0,0,7.8958,S,0,19
3,male,0,0,14.5,S,0,19
3,male,0,0,7.8958,S,0,19
3,male,0,0,10.1708,S,0,19
3,male,0,0,7.65,S,0,19
1,male,1,0,53.1,S,0,19
3,male,0,0,7.8958,S,0,19
3,female,0,0,7.8792,Q,1,19
1,female,0,2,26.2833,S,1,19
3,female,1,0,7.8542,S,1,19
2,male,0,0,10.5,S,1,19
3,male,0,0,8.05,S,1,19
1,female,1,0,91.0792,C,1,19
2,female,0,0,26,S,1,19
2,female,1,0,26,S,1,19
1,female,0,0,30,S,1,19
3,male,0,0,8.05,S,0,20
3,male,0,0,7.8542,S,0,20
3,female,1,0,9.825,S,0,20
3,male,0,0,7.05,S,0,20
3,male,0,0,4.0125,C,0,20
3,female,0,0,8.6625,S,0,20
3,male,0,0,9.5,S,0,20
